Product Name,Specifications,Price,MRP,Image URL
Mi 5A 108 cm (43 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"['Operating System: Android', 'Full HD 1920 x 1080 Pixels', '1 Year Warranty on Product and 2 Years Warranty on Panel. OEM warranty activation starts from the date of delivery.']","₹24,999","₹35,999",https://rukminim1.flixcart.com/image/312/312/l2f20sw0/television/k/s/l/l43m7-eain-mi-original-imagdrtndgnrymr9.jpeg?q=70
Vu cinema TV 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV,"['Operating System: Google TV', 'Ultra HD (4K) 3840 x 2160 Pixels', '3 Year Warranty on Product']","₹27,990","₹46,500",https://rukminim1.flixcart.com/image/312/312/k5vcya80/television/2/y/h/vu-43ca-original-imafzgkfchwevdvh.jpeg?q=70
TOSHIBA V35KP 108 cm (43 inch) Full HD LED Smart Android TV with DTS Virtual X (2022 Model),"['Operating System: Android', 'Full HD 1920 x 1080 Pixels', '2 Years Comprehensive Warranty']","₹19,999","₹34,990",https://rukminim1.flixcart.com/image/312/312/xif0q/television/x/l/n/-original-imaggz6zrhhg8ht2.jpeg?q=70
TCL 80.04 cm (32 inch) Full HD LED Smart Google TV with Bezel Less & Extra Brightness,"['Operating System: Google TV', 'Full HD 1920 x 1080 Pixels', '2 Years Warranty on Product']","₹13,990","₹23,990",https://rukminim1.flixcart.com/image/312/312/xif0q/television/o/f/x/-original-imagnrjvhdgggekk.jpeg?q=70
"Hisense 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with 102W JBL 6 Speakers, Dolby Vision and ...","['Operating System: Google TV', 'Ultra HD (4K) 3840 x 2160 Pixels', '2 Years Warranty on Product and Panel']","₹39,499","₹69,990",https://rukminim1.flixcart.com/image/312/312/xif0q/television/9/8/9/-original-imagjmpmmc3cfwqq.jpeg?q=70
SAMSUNG Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,"['Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']","₹29,990","₹52,900",https://rukminim1.flixcart.com/image/312/312/l3nco7k0/television/s/q/m/-original-imageq5eptqwxcv8.jpeg?q=70
"MOTOROLA Envision 140 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Bezel-Less Design, Google V...","['Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Years Warranty']","₹31,999","₹54,999",https://rukminim1.flixcart.com/image/312/312/xif0q/television/f/p/j/-original-imagpa2xnmvnz3rg.jpeg?q=70
Infinix X3IN 109 cm (43 cm) Full HD LED Smart Android TV,"['Operating System: Android', 'Full HD 1920 x 1080 Pixels', '1 Year Domestic Warranty']","₹16,999","₹26,999",https://rukminim1.flixcart.com/image/312/312/xif0q/television/t/6/p/43x3in-infinix-original-imagpfr839ahxsak.jpeg?q=70
Acer N Series 80 cm (32 inch) HD Ready LED TV,"['HD Ready 1366 x 768 Pixels', '1 Year Warranty']","₹7,999","₹14,990",https://rukminim1.flixcart.com/image/312/312/xif0q/television/t/q/d/ar32nsv53hd-ar32nsv53hd-acer-original-imagkhz9ythtmawz.jpeg?q=70
Thomson R9 60 cm (24 inch) HD Ready LED TV,"['HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product & 6 Months on Accessories']","₹6,499","₹10,499",https://rukminim1.flixcart.com/image/312/312/kikluvk0/television/h/8/t/thomson-24tm2490-original-imafybphgnhfwuvp.jpeg?q=70
Vu GloLED 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with DJ Subwoofer 104W,"['Operating System: Google TV', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Domestic Warranty']","₹38,999","₹65,000",https://rukminim1.flixcart.com/image/312/312/xif0q/television/v/c/4/-original-imaghzmnzdfzqkgt.jpeg?q=70
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, (1GB RA...","['Operating System: Android Based', 'HD Ready 1366 x 768 Pixels', '1 Year Manufacturer Warranty from the Date of Purchase']","₹6,999","₹12,999",https://rukminim1.flixcart.com/image/312/312/xif0q/television/4/p/j/-original-imaggstztckgjet4.jpeg?q=70
realme NEO 80 cm (32 inch) HD Ready LED Smart Linux TV,"['Operating System: Linux', 'HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product and 2 Years Warranty on the Display Panel']","₹11,999","₹21,999",https://rukminim1.flixcart.com/image/312/312/kulk9zk0/television/a/k/g/rmv2101-realme-original-imag7zh4etze62zy.jpeg?q=70
SONY Bravia 80 cm (32 inch) HD Ready LED Smart Google TV,"['Operating System: Google TV', 'HD Ready 1366 x 768 Pixels', ""1 year Comprehensive warranty by the manufacture from the date of purchase | Contact Brand toll free number for assistance and provide product's model name and seller's details mentioned on your invoice. The service center will allot you a convenient slot for the service.""]","₹25,990","₹34,900",https://rukminim1.flixcart.com/image/312/312/l3bx5e80/television/j/i/9/-original-imageh2q8qbajhcn.jpeg?q=70
realme NEO 80 cm (32 inch) HD Ready LED Smart Linux TV,"['Operating System: Linux', 'HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product and 2 Years Warranty on the Display Panel']","₹11,999","₹21,999",https://rukminim1.flixcart.com/image/312/312/kulk9zk0/television/a/k/g/rmv2101-realme-original-imag7zh4etze62zy.jpeg?q=70
SONY Bravia 80 cm (32 inch) HD Ready LED Smart Google TV,"['Operating System: Google TV', 'HD Ready 1366 x 768 Pixels', ""1 year Comprehensive warranty by the manufacture from the date of purchase | Contact Brand toll free number for assistance and provide product's model name and seller's details mentioned on your invoice. The service center will allot you a convenient slot for the service.""]","₹25,990","₹34,900",https://rukminim1.flixcart.com/image/312/312/l3bx5e80/television/j/i/9/-original-imageh2q8qbajhcn.jpeg?q=70
"Hisense 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV with 102W JBL 6 Speakers, Dolby Vision and ...","['Operating System: Google TV', 'Ultra HD (4K) 3840 x 2160 Pixels', '2 Years Warranty on Product and Panel']","₹34,999","₹54,990",https://rukminim1.flixcart.com/image/312/312/xif0q/television/i/d/1/-original-imagjmpefgzuw7wy.jpeg?q=70
TOSHIBA V35KP 80 cm (32 inch) HD Ready LED Smart Android TV with DTS Virtual X (2022 Model),"['Operating System: Android', 'HD Ready 1366 x 768 Pixels', '2 Years Comprehensive Warranty']","₹11,499","₹24,990",https://rukminim1.flixcart.com/image/312/312/xif0q/television/d/i/b/-original-imaggz6zchtvn3zt.jpeg?q=70
BeethoSOL 60 cm (24 inch) HD Ready LED TV,"['HD Ready 1366 x 768 Pixels', '1 Year Warranty']","₹5,649","₹15,000",https://rukminim1.flixcart.com/image/312/312/xif0q/television/l/l/x/-original-imaghy7kyyr9pnrr.jpeg?q=70
